Five letter identifier	Survey type	Date	Day of year 	Start time	Duration (min)	Plant Family	Plant genus	Plant species	Plant species comments	Total floral  cover (m2)	 Number of floral units	Flower visitor order	Flower visitor family	Flower visitor genus	Flower visitor species	Sex/caste	Flower visitor species comments	Number of individuals	Number of flowers visited	Photo or specimen taken?	
ALKEL	A	17/04/	108	1330	20	Asteraceae	Bellis	Bellis perennis		<0.1	7				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Lamium	Lamium purpureum		0.1	3				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	2				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Apis	Apis mellifera			4	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Grossulariaceae	Ribes	Ribes rubrum		0.3	33				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	20				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	33	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			2	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	33	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	17/04/	108	1330	20	Asteraceae	Taraxacum	Taraxacum officinale		0.2	7				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Apocynaceae	Vinca	Vinca minor		<0.1	9				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Violaceae	Viola	Viola tricolor		<0.1	2				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Bellis	Bellis perennis		<0.1	9				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Lamium	Lamium purpureum		0.1	5				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	4				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Apis	Apis mellifera			15	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Diptera	Syrphidae	Episyrphus	Episyrphus sp.			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Megachilidae	Megachile	Megachile sp.			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	20				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	15	Hymenoptera	Apidae	Apis	Apis mellifera			2	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	34	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			1	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	34	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Diptera	Anthomyiidae		Anthomyiidae sp.			3	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Hymenoptera	Formicidae		Formicidae sp.			2	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Coleoptera	Cetoniidae	Oxythyrea	Oxythyrea funesta			1	NA		
ALKEL	A	16/04/	107	1030	20	Apocynaceae	Vinca	Vinca minor		<0.1	10				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Violaceae	Viola	Viola tricolor		<0.1	2				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Asteraceae	Bellis	Bellis perennis		<0.1	8				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Lamiaceae	Lamium	Lamium purpureum		0.1	7				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	<0.1	5				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	4				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris	1	NA		
